PM25,Anomaly,Time,Model
1,FALSE,2021-01-02T06:23:18Z,GRU
1,FALSE,2021-01-02T05:33:18Z,DNN
1,FALSE,2021-01-02T05:43:18Z,DNN
1,FALSE,2021-01-02T05:53:18Z,DNN
1,FALSE,2021-01-02T06:03:18Z,DNN
1,FALSE,2021-01-02T06:13:18Z,DNN
1,FALSE,2021-01-02T06:23:18Z,DNN
1,FALSE,2021-01-02T05:33:18Z,Isolation Forest
1,FALSE,2021-01-02T05:43:18Z,Isolation Forest
1,FALSE,2021-01-02T05:53:18Z,Isolation Forest
1,FALSE,2021-01-02T06:03:18Z,Isolation Forest
1,FALSE,2021-01-02T06:13:18Z,Isolation Forest
1,FALSE,2021-01-02T06:23:18Z,Isolation Forest
1,FALSE,2021-01-02T06:33:28Z,LSTM
1,FALSE,2021-01-02T06:43:28Z,LSTM
13,TRUE,2021-01-02T06:53:28Z,LSTM
9,FALSE,2021-01-02T07:03:28Z,LSTM
1,FALSE,2021-01-02T07:13:28Z,LSTM
1,FALSE,2021-01-02T07:23:28Z,LSTM
1,FALSE,2021-01-02T06:33:28Z,GRU
1,FALSE,2021-01-02T06:43:28Z,GRU
13,TRUE,2021-01-02T06:53:28Z,GRU
9,FALSE,2021-01-02T07:03:28Z,GRU
1,FALSE,2021-01-02T07:13:28Z,GRU
1,FALSE,2021-01-02T07:23:28Z,GRU
1,FALSE,2021-01-02T06:33:28Z,DNN
1,FALSE,2021-01-02T06:43:28Z,DNN
13,TRUE,2021-01-02T06:53:28Z,DNN
9,FALSE,2021-01-02T07:03:28Z,DNN
1,FALSE,2021-01-02T07:13:28Z,DNN
1,FALSE,2021-01-02T07:23:28Z,DNN
1,FALSE,2021-01-02T06:33:28Z,Isolation Forest
1,FALSE,2021-01-02T06:43:28Z,Isolation Forest
13,FALSE,2021-01-02T06:53:28Z,Isolation Forest
9,FALSE,2021-01-02T07:03:28Z,Isolation Forest
1,FALSE,2021-01-02T07:13:28Z,Isolation Forest
1,FALSE,2021-01-02T07:23:28Z,Isolation Forest
1,TRUE,2021-01-02T07:33:39Z,LSTM
6,FALSE,2021-01-02T07:43:39Z,LSTM
6,FALSE,2021-01-02T07:53:39Z,LSTM
3,FALSE,2021-01-02T08:03:39Z,LSTM
7,FALSE,2021-01-02T08:13:39Z,LSTM
7,FALSE,2021-01-02T08:23:39Z,LSTM
1,FALSE,2021-01-02T07:33:39Z,Isolation Forest
6,FALSE,2021-01-02T07:43:39Z,Isolation Forest
6,FALSE,2021-01-02T07:53:39Z,Isolation Forest
3,FALSE,2021-01-02T08:03:39Z,Isolation Forest
7,FALSE,2021-01-02T08:13:39Z,Isolation Forest
7,FALSE,2021-01-02T08:23:39Z,Isolation Forest
1,TRUE,2021-01-02T07:33:39Z,GRU
6,FALSE,2021-01-02T07:43:39Z,GRU
6,FALSE,2021-01-02T07:53:39Z,GRU
3,FALSE,2021-01-02T08:03:39Z,GRU
7,FALSE,2021-01-02T08:13:39Z,GRU
7,FALSE,2021-01-02T08:23:39Z,GRU
1,TRUE,2021-01-02T07:33:39Z,DNN
6,FALSE,2021-01-02T07:43:39Z,DNN
6,FALSE,2021-01-02T07:53:39Z,DNN
3,FALSE,2021-01-02T08:03:39Z,DNN
7,FALSE,2021-01-02T08:13:39Z,DNN
7,FALSE,2021-01-02T08:23:39Z,DNN
1,TRUE,2021-01-02T08:33:59Z,DNN
3,FALSE,2021-01-02T08:43:59Z,DNN
4,FALSE,2021-01-02T08:53:59Z,DNN
3,FALSE,2021-01-02T09:03:59Z,DNN
4,FALSE,2021-01-02T09:13:59Z,DNN
8,FALSE,2021-01-02T09:23:59Z,DNN
1,FALSE,2021-01-02T08:33:59Z,Isolation Forest
3,FALSE,2021-01-02T08:43:59Z,Isolation Forest
4,FALSE,2021-01-02T08:53:59Z,Isolation Forest
3,FALSE,2021-01-02T09:03:59Z,Isolation Forest
4,FALSE,2021-01-02T09:13:59Z,Isolation Forest
8,FALSE,2021-01-02T09:23:59Z,Isolation Forest
1,FALSE,2021-01-02T08:33:59Z,GRU
3,FALSE,2021-01-02T08:43:59Z,GRU
4,FALSE,2021-01-02T08:53:59Z,GRU
3,FALSE,2021-01-02T09:03:59Z,GRU
4,FALSE,2021-01-02T09:13:59Z,GRU
8,TRUE,2021-01-02T09:23:59Z,GRU
1,FALSE,2021-01-02T08:33:59Z,LSTM
3,FALSE,2021-01-02T08:43:59Z,LSTM
4,FALSE,2021-01-02T08:53:59Z,LSTM
3,FALSE,2021-01-02T09:03:59Z,LSTM
4,FALSE,2021-01-02T09:13:59Z,LSTM
8,TRUE,2021-01-02T09:23:59Z,LSTM
5,FALSE,2021-01-02T09:34:19Z,DNN
3,FALSE,2021-01-02T09:44:19Z,DNN
1,FALSE,2021-01-02T09:54:18Z,DNN
1,FALSE,2021-01-02T10:04:18Z,DNN
4,FALSE,2021-01-02T10:14:18Z,DNN
6,FALSE,2021-01-02T10:24:18Z,DNN
5,FALSE,2021-01-02T09:34:19Z,Isolation Forest
3,FALSE,2021-01-02T09:44:19Z,Isolation Forest
1,FALSE,2021-01-02T09:54:18Z,Isolation Forest
1,FALSE,2021-01-02T10:04:18Z,Isolation Forest
4,FALSE,2021-01-02T10:14:18Z,Isolation Forest
6,FALSE,2021-01-02T10:24:18Z,Isolation Forest
5,FALSE,2021-01-02T09:34:19Z,GRU
3,FALSE,2021-01-02T09:44:19Z,GRU
1,FALSE,2021-01-02T09:54:18Z,GRU
1,FALSE,2021-01-02T10:04:18Z,GRU
4,FALSE,2021-01-02T10:14:18Z,GRU
6,TRUE,2021-01-02T10:24:18Z,GRU
1,FALSE,2021-01-02T10:34:39Z,LSTM
1,FALSE,2021-01-02T10:44:39Z,LSTM
3,TRUE,2021-01-02T10:54:39Z,LSTM
1,FALSE,2021-01-02T11:05:33Z,LSTM
1,FALSE,2021-01-02T11:15:24Z,LSTM
1,FALSE,2021-01-02T11:25:24Z,LSTM
1,FALSE,2021-01-02T10:34:39Z,DNN
1,FALSE,2021-01-02T10:44:39Z,DNN
3,TRUE,2021-01-02T10:54:39Z,DNN
1,FALSE,2021-01-02T11:05:33Z,DNN
1,FALSE,2021-01-02T11:15:24Z,DNN
1,FALSE,2021-01-02T11:25:24Z,DNN
1,FALSE,2021-01-02T10:34:39Z,Isolation Forest
1,FALSE,2021-01-02T10:44:39Z,Isolation Forest
3,FALSE,2021-01-02T10:54:39Z,Isolation Forest
1,FALSE,2021-01-02T11:05:33Z,Isolation Forest
1,FALSE,2021-01-02T11:15:24Z,Isolation Forest
1,FALSE,2021-01-02T11:25:24Z,Isolation Forest
1,FALSE,2021-01-02T10:34:39Z,GRU
1,FALSE,2021-01-02T10:44:39Z,GRU
3,TRUE,2021-01-02T10:54:39Z,GRU
1,FALSE,2021-01-02T11:05:33Z,GRU
1,FALSE,2021-01-02T11:15:24Z,GRU
1,FALSE,2021-01-02T11:25:24Z,GRU
7,FALSE,2021-01-02T11:35:38Z,LSTM
8,FALSE,2021-01-02T11:45:38Z,LSTM
1,FALSE,2021-01-02T11:55:38Z,LSTM
7,FALSE,2021-01-02T12:05:38Z,LSTM
1,FALSE,2021-01-02T12:15:38Z,LSTM
3,FALSE,2021-01-02T12:25:38Z,LSTM
7,FALSE,2021-01-02T11:35:38Z,GRU
8,TRUE,2021-01-02T11:45:38Z,GRU
1,FALSE,2021-01-02T11:55:38Z,GRU
7,FALSE,2021-01-02T12:05:38Z,GRU
1,FALSE,2021-01-02T12:15:38Z,GRU
